"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
13892,b,2," ",1,8829.6796875,315.1821289,315.18154646688,1.8479290034023,15.022614690926%,1.749502767878%,2.0000000000575E-6
13892,y,15," ",2,3967.5451660156,909.4512939,909.45378880889,-2.7433047447129,6.7502904303852%,0.78612492132097%,4.000000000004E-6
13892,y,16," ",2,54928.69921875,957.9800415,957.98017080889,-0.13498076256159,93.454430176581%,10.883510469263%,4.9999999999217E-6
13925,a,2," ",1,8180.90625,173.1286469,173.12845584731,1.1035314214789,65.099486508712%,5.7566820113142%,1.9999999999465E-6
13925,b,2," ",1,1272.9837646484,201.1233215,201.12337046688,-0.243466877534,10.129756640658%,0.89576417510547%,1.0000000000288E-6
14005,x,13," ",3,2367.8317871094,498.2830811,498.27964289067,6.9001601411543,11.863086688718%,1.6910643070474%,2.9999999999752E-6
14005,y,15," ",3,4905.8696289063,587.0075684,587.00395302822,6.1590245840604,24.578923641494%,3.5036868199996%,2.9999999999752E-6
14005,y,18," ",3,2888.8774414063,698.7194214,698.71999269489,-0.81763066051395,14.473580305433%,2.0631860570469%,3.0000000000863E-6
14076,y,5," ",1,3272.1823730469,577.2948608,577.29402015091,1.4561888077877,47.324848550418%,6.837078452638%,2.0000000000575E-6
14076,y,6," ",1,2516.2800292969,690.3754272,690.37808015091,-3.8427507843669,36.392400459646%,5.2576543748964%,9.9999999991773E-7
14076,y,12," ",2,1986.7947998047,696.4033813,696.40951430889,-8.806612729885,28.734572918674%,4.1513187123825%,1.9999999999465E-6
14076,y,13," ",2,2244.3256835938,724.9159546,724.92024630889,-5.9202497319593,32.459185022438%,4.689417954939%,2.0000000000575E-6
14076,y,14," ",2,3074.4582519531,790.4425049,790.44048630889,2.5537546988764,44.465208402422%,6.4239427609869%,1.9999999999465E-6
14810,b,2," ",1,9369.1064453125,214.1188202,214.11862046688,0.93281528035164,33.393382934673%,2.7502542787808%,1.9999999999465E-6
14810,y,11," ",2,3081.9018554688,610.3407593,610.34331180889,-4.1820871051676,10.984519113692%,0.90467685624665%,1.9999999999465E-6
14810,y,13," ",2,9676.4619140625,688.3926392,688.38825080889,6.3748779861073,34.48885974721%,2.8404769374698%,1.9999999999465E-6
14810,y,15," ",2,3605.9184570313,801.4710083,801.47231080889,-1.6251452189276,12.852219853591%,1.0584993054857%,2.9999999999752E-6
14810,y,16," ",2,6932.9633789063,844.9888916,844.98832530889,0.6701762486365,24.710478244135%,2.0351366812581%,4.000000000004E-6
14810,y,17," ",2,3448.6418457031,888.505188,888.50433980889,0.95462798322863,12.291654324807%,1.0123315438339%,4.000000000004E-6
14810,y,11," ",1,7495.2919921875,1219.6860352,1219.6793471509,5.4834486678025,26.714730712397%,2.2002054296799%,4.000000000004E-6
14810,y,13," ",1,2956.2409667969,1375.7773438,1375.7692251509,5.9011707361107,10.536638389972%,0.86778973165664%,5.0000000000328E-6
14875,y,1," ",1,1566.6121826172,175.1200409,175.11895115091,6.2229078225516,0.66072720579906%,0.23600813012853%,1.0000000000288E-6
14875,y,2," ",1,2093.8449707031,272.1733704,272.17171515091,6.0816352283264,0.88309050077592%,0.31543507818834%,9.9999999991773E-7
14875,y,6," ",1,16089.341796875,625.3464355,625.34163715091,7.6731642445803,6.7857673817113%,2.4238388508734%,2.0000000000575E-6
14875,y,7," ",1,3025.9265136719,753.4370728,753.43659715091,0.63130606179364,1.2762009593157%,0.45585197556997%,2.9999999999752E-6
14875,y,15," ",2,2601.2297363281,896.9559326,896.96010330889,-4.6498265404538,1.0970827843648%,0.39187194694216%,5.0000000000328E-6
14875,y,16," ",2,14078.8828125,940.4752808,940.47611780889,-0.88998420933777,5.9378453740447%,2.1209657653279%,4.9999999999217E-6
14875,y,9," ",1,2565.1467285156,1009.5574341,1009.5537571509,3.642152847151,1.081864579634%,0.38643608776927%,5.0000000000328E-6
15006,y,1," ",1,2617.1821289063,175.1195679,175.11895115091,3.5218866201582,20.081286667625%,1.7900780527315%,2.0000000000575E-6
15006,y,3," ",1,3552.0654296875,385.2554016,385.25577515091,-0.96961793443876,27.254520565415%,2.429511609957%,1.0000000000288E-6
15006,y,5," ",1,2494.095703125,570.3748169,570.37219915091,4.5895453790877,19.136861068157%,1.7058904423445%,2.9999999999752E-6
15006,y,7," ",1,2503.4992675781,801.4398804,801.43996715091,-0.10824380180519,19.209013354158%,1.7123222126668%,4.000000000004E-6
15173,a,2," ",1,20847.587890625,246.1276245,246.12707584731,2.2291439863747,100%,9.4704816340289%,2.0000000000575E-6
15173,b,2," ",1,9363.1044921875,274.1229248,274.12199046688,3.4084573786302,44.912171812443%,4.2533989829409%,1.0000000000288E-6
