"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
3016,z,4," ",1,52940.80859375,538.2359619,538.23817608202,-4.1137587734965,1.4900539529417%,0.17239669636073%,2.4000000000024E-5
3016,y,4," ",1,3125870.5,554.2589722,554.25690015091,3.7384272355181,87.979685589064%,10.179099295342%,2.3999999999913E-5
3016,z,5," ",1,253052.21875,652.2791138,652.28110608202,-3.0543304115098,7.122321491962%,0.82404042699876%,2.599999999997E-5
3016,y,5," ",1,15655.177734375,668.3037109,668.29983015091,5.8068982152685,0.44062529618908%,0.050979593890543%,2.6000000000082E-5
3218,b,1," ",1,15371.592773438,130.0504761,130.04986646688,4.6876874045616,0.93171897208997%,0.14272196878473%,1.0000000000288E-6
3218,c,1," ",1,9824.80078125,147.0767059,147.076415568,1.9740214628808,0.5955110455901%,0.091221185148803%,2.0000000000575E-6
3218,y,1," ",1,4277.4096679688,175.1193542,175.11895115091,2.3015732355437,0.25926680453924%,0.039714838800977%,2.9999999999752E-6
3218,a,2," ",1,234842.375,231.0983429,231.09754184731,3.4662968919004,14.234510337554%,2.1804614920583%,6.9999999999792E-6
3218,b,2," ",1,122102.8203125,259.0933533,259.09245646688,3.4614404960388,7.4010231670617%,1.1336987107336%,7.0000000000903E-6
3218,c,2," ",1,5671.484375,276.1196594,276.119005568,2.3679355200124,0.34376591092308%,0.052658525883575%,6.9999999999792E-6
3277,b,1," ",1,78127.296875,129.1026459,129.10223646688,3.1713867413287,11.449076645376%,2.8230224657621%,2.0000000000575E-6
3277,y,1," ",1,89730.0234375,147.1132507,147.11280115091,3.0558121895902,13.149385129387%,3.2422710390545%,2.9999999999752E-6
3277,y,2," ",1,16758.73828125,218.1507874,218.14991515091,3.9983929878138,2.4558904088134%,0.60555396843552%,5.0000000000328E-6
3277,M,+2H," ",2,110204.5703125,401.7258301,401.72450780889,3.2915370616376,16.149804519633%,3.9820906426547%,2.8000000000028E-5
3277,a,6," ",1,19672.927734375,628.3444214,628.34129984731,4.9679253803401,2.8829470169712%,0.7108541979932%,1.6000000000016E-5
3277,b,6," ",1,37427.8125,656.3381958,656.33621446688,3.0187776893822,5.4848165893526%,1.3524025501725%,1.400000000007E-5
3277,c,6," ",1,4719.5087890625,673.3683472,673.362763568,8.2921603378572,0.69161509505385%,0.17053296186865%,1.5000000000098E-5
3277,y,6," ",1,8100.490234375,674.3529053,674.34677915091,9.084567881469,1.1870772094786%,0.29270007833388%,1.4999999999987E-5
3535,b,2," ",1,3151.0285644531,129.065918,129.06585446688,0.49225351860822,0.37510330225146%,0.077809010617997%,1.0000000000288E-6
3535,y,1," ",1,68829.96875,147.113266,147.11280115091,3.1598140159538,8.1936256824986%,1.6996328848687%,2.0000000000575E-6
3535,y,2," ",1,22782.005859375,234.1452942,234.14483015091,1.9818891184693,2.7120051294257%,0.56256085895528%,4.9999999999217E-6
3535,y,3," ",1,17135.4765625,305.1824646,305.18194415091,1.7053731423469,2.0398335695068%,0.42312992425297%,6.0000000000615E-6
3535,M,+2H," ",2,261241.046875,445.2425232,445.24052530889,4.4872175653834,31.098537306801%,6.4508800775284%,2.000000000002E-5
3535,a,7," ",1,7881.1909179688,557.3059082,557.30419184731,3.0797412185299,0.9381891273072%,0.19461190378803%,9.9999999999545E-6
3535,b,7," ",1,52220.86328125,585.3011475,585.29910646688,3.4871625434808,6.2164521401661%,1.2895007526652%,9.9999999999545E-6
3535,a,8," ",1,12232.9296875,628.3429565,628.34130584731,2.6270001281061,1.4562268250296%,0.30207030386254%,9.0000000000368E-6
3535,z,7," ",1,5628.814453125,644.3479614,644.34879208202,-1.2891806878631,0.67006275758544%,0.13899349834233%,8.9999999999257E-6
3535,b,8," ",1,45941.4375,656.3380737,656.33622046688,2.823603304341,5.4689396062076%,1.1344415720535%,1.0000000000066E-5
3535,a,9," ",1,14025.45703125,715.3760986,715.37333484731,3.8633711327008,1.6696120458435%,0.34633355831105%,9.9999999999545E-6
3535,b,9," ",1,36043.4609375,743.3713379,743.36824946688,4.1546476098223,4.290669203938%,0.89002875646164%,1.0000000000066E-5
3535,c,9," ",1,4984.5830078125,760.3931885,760.394798568,-2.1174105900165,0.59337245230638%,0.12308535586014%,1.0000000000066E-5
